CODIGO;EMPRESA;ANO;ANO.COD;X1.DEC_Apurada;X1.1.DEC_Limite;X1.2.DEC_V8;X2.FEC_Apurada;X2.1.FEC_Limite;X2.2.FEC_V8;X3.0.Fator_Q;X4.0.Desc_Perdas_Nao_Tec;X5.DGC;X6.UC_Total;X7.UC_AT;X8.UC_MT;X9.UC_BT;X10.Mercado_Total;X10.1.Mercado_Ponderado;X11.Mercado_AT;X12.Mercado_MT;X13.Mercado_BT;X14.Peso_AT;X15.Peso_MT;X16.Peso_BT;X17.Ind_Salarial;X18.1.Custos_Operacionais;X18.1.1.Custos_Operacionais_H;X18.1.2.Custos_Operacionais_AJ;X18.2.Pessoal;X18.2.1.Pessoal_H;X18.3.Materiais;X18.3.1.Materiais_H;X18.4.Serv_Terceiros;X18.4.1.Serv_Terceiros_H;X18.5.Seguros;X18.5.1.Seguros_H;X18.6.Tributos;X18.6.1.Tributos_H;X18.7.Outros;X18.7.1.Outros_H;X18.8.Estagiario;X18.8.1.Estagiario_H;X18.9.Comunicacao;X18.9.1.Comunicacao_H;X19.0.Cond_TOTAIS;X19.1.Cond_Trab;X19.1.1.Cond_Trab_H;X19.2.Cond_Civeis;X19.2.1.Cond_Civeis_H;X19.3.Cond_Fiscais;X19.3.1.Cond_Fiscais_H;X19.4.Cond_Ambientais;X19.4.1.Cond_Ambientais_H;X19.5.Cond_Outras;X19.5.1.Cond_Outras_H;X20.Contrib_CCEE;X20.1.Contrib_CCEE_H;X21.Custos_de_Desativacao;X21.1.Custos_de_Desativacao_H;X27.Demanda_Total;X28.Demanda_AT;X29.Demanda_MT;X30.Demanda_BT;X34.PNT_Medidas;X35.Meta_PNT;X35.2.Meta_PNT_4CRTP;X37.Rede;X38.0.1.BT_DIST_SEM_RAMAL;X38.0.2.BT_DIST_COM_RAMAL;X38.0.3.BT_DIST_AER_MUX;X38.1.BT_AEREA_DIST;X38.2.BT_MUX_DIST;X38.3.BT_SUBTERR_DIST;X38.4.BT_RAMAL_RAMAL_DIST;X39.0.1.MT_DIST;X39.0.2.MT_DIST_AER_MUX;X39.1.MT_AEREA_DIST;X39.2.MT_MUX_DIST;X39.3.MT_SUBTERR_DIST;X40.0.1.AT_DIST;X40.0.2.AT_DIST_AER_MUX;X40.1.AT_AEREA_DIST;X40.2.AT_MUX_DIST;X40.3.AT_SUBTERR_DIST;X43.Trafos_Distribuicao;X45.Trafos_AT;X45.1.Trafos_69;X45.2.Trafos_88_138;X45.3.Trafos_230;X46.Subestacoes_MT;X47.Subestacoes_AT;X47.1.Subestacoes_69;X47.2.Subestacoes_88_138;X47.3.Subestacoes_230;X48.MVA_Total;X49.MVA_MT;X50.MVA_AT;X50.1.MVA_69;X50.2.MVA_88_138;X50.3.MVA_230;X61.Compensacoes_Q;X62.Compensacoes_Reais;X18.1.3.OPEX_DESAT_CCEE;X18.1.3.0.OPEX_DESAT_CCEE_QUAL;X18.1.3.1.OPEX_DESAT_CCEE_QUAL_CR;X18.1.3.2.OPEX_DESAT_CCEE_QUAL_FQ;X18.1.3.3.OPEX_DESAT_CCEE_QUAL_PNT;X18.1.3.4.OPEX_DESAT_CCEE_QUAL_CR_FQ;X18.1.3.5.OPEX_DESAT_CCEE_QUAL_CR_PNT;X18.1.3.6.OPEX_DESAT_CCEE_QUAL_FQ_PNT;X18.1.4.OPEX_CTRAB_DESAT_CCEE;X18.1.5.OPEX_CTRAB_DESAT_CCEE_QUAL;X18.1.5.1.OPEX_CTRAB_DESAT_CCEE_QUAL_CR;X18.1.5.2.OPEX_CTRAB_DESAT_CCEE_QUAL_FQ;X18.1.5.3.OPEX_CTRAB_DESAT_CCEE_QUAL_PNT;X18.1.5.4.OPEX_CTRAB_DESAT_CCEE_QUAL_CR_FQ;X18.1.5.5.OPEX_CTRAB_DESAT_CCEE_QUAL_CR_PNT;X18.1.5.6.OPEX_CTRAB_DESAT_CCEE_QUAL_FQ_PNT;X18.1.6.OPEX_CTOT_DESAT_CCEE;X18.1.7.OPEX_CTOT_DESAT_CCEE_QUAL;X18.1.8.OPEX_DESAT_CCEE_QUAL
D02;AMAZONAS;MEDIA-2016-2018;MEDIA-2016-2018D02;40.24;47.77666667;18.6;25.50333333;45.46333333;9.84;1798.118257;-166558.7573;0.702953954;980253.6667;46.66666667;2992;977215;5926426.833;2585151.856;964404.08;1822433.578;3139589.175;0.062405942;0.3184367;0.619157358;0.933839967;467533752;473494800.7;499517.4532;261661334.7;266058864.7;7502195.114;7608267.05;185874081.7;188839772.8;1498881.875;1505799.563;3969819.331;4071576.753;5335358.05;8115779.695;509956.9404;526595.53;1182124.239;1222528.15;111495.8522;29257.9978;30594950;122870541.2;124684149.9;486240.297;492000;0;0;0;0;979.0417744;991720.2525;-253.1297534;-750423.17;19849601;10229719;9619882;0;1.27100735;0.4161315;0.4154;21335.1;6165.7;6165.7;6123.6;6123.6;0;42.1;0;15169.4;15113.6;15113.6;0;55.8;0;0;0;0;0;60075;53;52.66666667;0;0;0;20;20.33333333;0;0;1488.85;0;1419.916667;1419.916667;0;0;482176.6667;3235.79613;500243.3653;668239.8004;503479.1614;498445.247;666802.1225;501681.0431;670037.9187;665004.0043;529501.3631;697497.7982;532737.1592;527703.2448;696060.1203;530939.0409;699295.9165;694262.0021;611739.2174;779735.6526;668239.8004
D04;BANDEIRANTE;MEDIA-2016-2018;MEDIA-2016-2018D04;8.023333333;8.333333333;6.373333333;5.066666667;6.663333333;4.23;-446.524988;-26610.13908;0.861790877;1843333;89;4628.333333;1838615.667;14799363.68;5091747.418;5149186.48;4165952.138;5484225.059;0.071973204;0.279682299;0.648344496;1.000278353;379936875.1;384301984;379848.3834;162291264.1;165019127.4;15611582.25;15709775.29;166551948.8;169377337.5;1241475.355;1252146.353;6795807.73;6795960.163;26011508.11;26147637.33;938563.4899;971624.59;494725.2378;518126.1767;14093.8666;3623.017998;3739656.387;13767516.71;14371403.52;20081.1888;21035.645;0;0;1918675.003;1961004.44;1151.90224;1165173.029;41111.58206;41256990.4;44377650.33;24275093;20102557.33;0;0.132035933;0.079804415;0.0845;28314.9;12546.66667;12546.66667;12467.96667;8953.533333;3514.433333;78.7;0;14811.73333;14701.03333;14525.3;175.7333333;110.7;956.5;950.2;950.2;0;6.3;68716.66667;134;0;134;0;39;55;0;55;0;7947.585167;4048.748167;3848.791667;0;3848.791667;0;1535452;6057.836973;422111.8677;455226.3688;428169.7047;422558.3927;448722.0068;428616.2297;454779.8438;449168.5318;425734.8857;458849.3868;431792.7227;426181.4107;452345.0248;432239.2477;458402.8618;452791.5498;436205.7343;469320.2354;455226.3688
D05;BOA VISTA ENERGIA;MEDIA-2016-2018;MEDIA-2016-2018D05;39.92;21.735;16.44;80.365;34.44;9.05;-284.9756124;-17396.54784;2.450149708;162735.5;0;665;162070.5;923081.61;610491.7792;0;209750.6765;713330.9335;0;0.204201336;0.795798665;0.928400372;147893937.9;152200358.1;158439.2277;93375948.7;96513118.71;7537642.308;7712784.735;42122625.11;43537377.4;422429.7446;428194.575;525303.0132;528743.22;3411089.135;3480139.49;498899.8335;518222.545;0;ND;6893.068273;4387.917983;4622515.94;2505150.291;2631640.905;0;0;0;0;0;0;20.47897791;21332.02586;0;ND;1084129;0;1084129;0;0.357825079;0.031225845;0.0719;13194.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4601;7;6.666666667;0;0;0;3;3;0;0;177.3333333;0;177.3333333;177.3333333;0;0;1;0;158459.7067;176141.2301;158459.7067;158744.6823;175856.2545;158744.6823;175856.2545;176141.2301;162847.6247;180529.1481;162847.6247;163132.6003;180244.1725;163132.6003;180244.1725;180529.1481;165352.775;183034.2984;176141.2301
D07;CEA;MEDIA-2016-2018;MEDIA-2016-2018D07;52.85;34.57333333;0;28.66666667;29.51;0;517.7224876;ND;1.316959304;202925.6667;1.666666667;587.6666667;202336.3333;1078222.279;ND;25631.66667;232642.7117;819947.9007;ND;ND;ND;0.933839967;96155422.67;98962989.83;102478.3759;61161301.02;94899477.79;1300807.124;1954082.26;21345986.57;33265951.57;58545.23417;172210.92;56801.56881;86859.59;11884803.79;18152008.1;248812.9182;382262.465;98364.43717;155850.075;31556.6197;5362.321152;8182550.575;4942995.912;5109000;34348451.92;35502000;0;0;0;0;120.2430894;185986.8329;10427.04856;16395305.59;1163148.333;90858.33333;1072290;0;ND;ND;0.371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7296;3;3.333333333;0;0;3;2;2.333333333;0;0;44.36666667;17.5;26.86666667;26.86666667;0;0;385595;3178.289875;113025.6675;ND;116203.9574;112507.945;ND;115686.2349;ND;ND;118387.9887;ND;121566.2785;117870.2662;ND;121048.5561;ND;ND;144582.2872;ND;ND
D08;CEAL;MEDIA-2016-2018;MEDIA-2016-2018D08;21.49;14.58666667;12.07;15.52;11.60333333;6.243333333;549.4875704;-28727.1989;1.415090564;1144210.667;36.33333333;2093.333333;1142081;3591096.76;1850399.672;523972.9467;924734.995;2142388.819;0.055170801;0.167148188;0.777681011;0.859874586;298754595.3;302731619.8;345727.8514;171763679.2;174789930.6;2486986.238;2507017.873;116636246.3;118914718.9;404001.0667;405462.83;3145775.067;3172766.923;2931709.381;2941722.777;637262.4961;658968.92;748935.5607;786505.5667;71437.9692;60622.40923;64034030.3;2975934.306;3081495.105;3108139.315;3283054.725;0;0;10139266.33;10534768.4;484.7503128;490847.3822;5728.495577;5854850.38;7082367.333;2978440.333;4103927;0;0.404909604;0.161113798;0.1567;41927.7;17641.4;17641.4;17641.4;16785.8;855.6;0;0;22435.8;22435.8;22433.4;2.4;0;1850.5;1850.5;1850.5;0;0;14179;79;78.66666667;0;0;38;37;37.33333333;0;0;929.5833333;0;929.5833333;929.5833333;0;0;1580835;3541.438884;351941.0973;383660.2475;355482.5362;351391.6097;380668.2962;354933.0486;384209.7351;380118.8086;412563.5065;444282.6567;416104.9454;412014.019;441290.7054;415555.4578;444832.1443;440741.2179;423379.0665;455098.2167;383660.2475
D02-0;CEAM;MEDIA-2016-2018;MEDIA-2016-2018D02-0;ND;ND;ND;ND;ND;ND;0;0;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.933839967;0;0;0;0;0;0;0;0;0;0;ND;0;ND;0;0;0;ND;0;ND;0;0;0;0;ND;0;ND;0;ND;0;ND;0;ND;0;ND;0;ND;ND;ND;ND;ND;ND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ND;ND;0;ND;ND;0;0;ND;ND;0;0;ND;ND;0;0;ND;ND;0;0;ND;ND
D09;CEB;MEDIA-2016-2018;MEDIA-2016-2018D09;8.89;9.573333333;5.993333333;7.06;8.003333333;3.683333333;2039.792988;-12869.08066;0.903621949;1057994;7;2259.333333;1055727.667;6509806.339;3420559.58;673367.899;1883525.857;3952912.583;0.00967154;0.241961164;0.748367297;0.984857896;358006150.2;361793219.5;363287.0348;218374076.8;221238399.8;2707839.433;2705930.923;128593450.3;130471714.8;1770019.536;1778589.053;2547850.486;2539106.227;3062767.791;3059478.637;731957.9202;751613.6533;218187.9897;220175.1367;7421.915237;2485.346499;2562004.34;1863833.454;1941854.91;0;0;0;0;5541019.65;5722293.155;766.4844694;777855.8652;3757.455391;3681103.907;14786389;5580939.333;9205449.667;0;0.092310614;0.058896249;0.0705;19662.7;8284.766667;8284.766667;7108.166667;5270.366667;1837.8;1176.6;0;10666.2;9820.4;9820.4;0;845.8;711.7333333;635.5;635.5;0;76.23333333;23949.66667;68;11;57;0;39;26.33333333;5;21.33333333;0;4606.155;3130.321667;1475.833333;102.5;1373.333333;0;1126261;5041.218832;367810.9746;383681.4811;372852.1935;365771.1816;380680.0553;370812.4005;385721.2741;378640.2623;370296.3211;386166.8276;375337.54;368256.5281;383165.4018;373297.747;388206.6206;381125.6088;375232.8899;391103.3964;383681.4811
D10;CEEE;MEDIA-2016-2018;MEDIA-2016-2018D10;16.39666667;11.2;7.216666667;10.25666667;9.306666667;4.756666667;-879.1670448;-138310.6794;1.281497959;1689851;45.33333333;5294.333333;1684511.333;8145643.787;4196386.784;858134.84;2511596.785;4775912.162;0.009827261;0.238989107;0.751183632;1.060218594;531519789.4;535975338.1;503706.7622;363570693.7;369313507.5;21979580.34;22091158.14;121121274.6;122459535;131080.3175;133347.36;8162814.798;8246214.02;13608708.7;13731576.14;2716914.668;2757706.027;228722.2495;238384.3733;29216.9011;12932.27484;13333135.55;23377987.1;24203989.9;822203.5979;838768.575;125510.8883;130246.925;101237.8017;104080.9;927.1904002;938382.9012;-71831.28811;-69814767.46;20308387.67;8309194.333;11999193.33;0;0.267249414;0.103552779;0.075;57314.96667;18284.56667;18284.56667;18197.96667;15847.23333;2350.733333;86.6;0;37303.66667;35632.66667;35630.23333;2.433333333;1671;1726.733333;1476.533333;1476.533333;0;250.2;63433.66667;111.6666667;81;20;7.666666667;49;56.66666667;41.33333333;12;3.333333333;4543.385667;3094.994;1408.061667;939.1566667;222.2166667;246.6883333;3517064.333;20392.38621;432802.6645;592384.8971;453195.0507;433681.8316;571113.3439;454074.2178;591505.7301;571992.5109;445734.9394;605317.172;466127.3256;446614.1064;584045.6187;467006.4926;604438.0049;584924.7858;462019.5656;621601.7982;592384.8971
D11;CELESC;MEDIA-2016-2018;MEDIA-2016-2018D11;11.95;12.08;8.02;8.123333333;9.88;6.01;2818.555077;-78433.14886;0.90458266;2903170.333;107.3333333;10903.66667;2892159.333;23500349.47;9339119.526;4717030.273;8794082.874;9989236.331;0.038526365;0.37425677;0.587216866;1.060218594;810630799.3;819169719.9;768364.855;554399602;563289411.3;16620715.98;16669812.43;186045173.3;189239737;1605706.563;1607875.223;5779179.77;5816048.927;42272419.57;42546835.12;3000552.036;3049107.877;907450.1113;934475.9933;45090.05032;8641.616943;8937719.493;47157716.91;48953252.13;7514933.169;7606667.905;0;0;0;0;1815.790721;1839022.877;22099.30498;22144046.14;73188335.77;31386632.57;41801703.2;0;0.093747052;0.056782447;0.0373;133147.7;48343.26667;48343.26667;47772.86667;41291.5;6481.366667;570.4;0;80168.83333;79592.53333;79530.46667;62.06666667;576.3;4635.6;4631.3;4631.3;0;4.3;173982;275.6666667;104;171.6666667;0;118.3333333;134;55.33333333;78.33333333;0;13971.6895;6831.622833;7140.066667;1710.291667;5429.775;0;2621781.333;12102.37645;792279.9507;879996.921;804382.3272;789461.3957;870713.0996;801563.7721;882815.476;867894.5445;800921.5677;888638.5379;813023.9441;798103.0126;879354.7165;810205.3891;891457.093;876536.1615;837370.0011;925086.9713;879996.921
D12;CELG;MEDIA-2016-2018;MEDIA-2016-2018D12;29.48333333;14.21333333;9.843333333;17.71;11.79333333;5.56;-2646.71894;-20114.80037;1.788195523;2926838.667;75;8674.666667;2918089;13470960.66;6622785.405;1827416.692;3868983.38;7774560.587;0.023602851;0.258977571;0.717419578;0.984857896;772329891.3;764859915;782959.7178;243633688.2;245252032.1;20592684.64;20835492.39;456329256.5;463674105.6;5546019.619;5632404.127;2344442.54;2369114.677;27418988;27096766.08;6884114.225;6867190.257;9580697.557;9444475.433;197779.7262;55252.66201;56314444.42;127893781;133772577.3;39000058.74;39464274.56;0;0;46896756.58;47625243.97;1401.607754;1418866.71;20493.30971;20789638.89;39302084.86;20975258.52;18326826.33;0;0.104823318;0.03672793;0.044;216996.9667;31448.26667;31448.26667;31345.86667;23324.26667;8021.6;102.4;0;179661.8;179625.4;179625.4;0;36.4;5886.9;2487.766667;2487.766667;0;3399.133333;199250.6667;205;119;85.66666667;0;219;136.3333333;87.33333333;49;0;9712.365333;6717.332;2995.033333;1271.433333;1722.766667;0;10384255.33;66606.01176;804854.6352;894222.1663;871460.647;807501.3542;824969.4356;874107.3659;891575.4474;827616.1545;860107.2972;949474.8283;926713.309;862754.0162;880222.0976;929360.0279;946828.1094;882868.8165;1002634.361;1092001.892;894222.1663
